dt,value
2103-11-25T07:00:19.586Z,
2103-11-25T07:01:19.594Z,
2103-11-25T07:02:19.602Z,
2103-11-25T07:03:19.61Z,
2103-11-25T07:04:19.618Z,
2103-11-25T07:05:19.626Z,
2103-11-25T07:06:19.634Z,
2103-11-25T07:07:19.642Z,-0.5004887586
2103-11-25T07:08:19.65Z,-0.5004887586
2103-11-25T07:09:19.658Z,-0.5004887586
2103-11-25T07:10:19.666Z,-0.5004887586
2103-11-25T07:11:19.674Z,-0.5004887586
2103-11-25T07:12:19.682Z,-0.5004887586
2103-11-25T07:13:19.69Z,-0.5004887586
2103-11-25T07:14:19.698Z,-0.5004887586
2103-11-25T07:15:19.706Z,-0.5004887586
2103-11-25T07:16:19.714Z,-0.5004887586
2103-11-25T07:17:19.722Z,-0.5004887586
2103-11-25T07:18:19.73Z,-0.5004887586
2103-11-25T07:19:19.738Z,-0.5004887586
2103-11-25T07:20:19.746Z,-0.5004887586
2103-11-25T07:21:19.754Z,-0.5004887586
2103-11-25T07:22:19.762Z,-0.5004887586
2103-11-25T07:23:19.77Z,-0.5004887586
2103-11-25T07:24:19.778Z,-0.5004887586
2103-11-25T07:25:19.786Z,-0.5004887586
2103-11-25T07:26:19.794Z,-0.5004887586
2103-11-25T07:27:19.802Z,-0.5004887586
2103-11-25T07:28:19.81Z,-0.5004887586
2103-11-25T07:29:19.818Z,-0.5004887586
2103-11-25T07:30:19.826Z,-0.5004887586
2103-11-25T07:31:19.834Z,-0.5004887586
2103-11-25T07:32:19.842Z,-0.5004887586
2103-11-25T07:33:19.85Z,-0.5004887586
2103-11-25T07:34:19.858Z,-0.5004887586
2103-11-25T07:35:19.866Z,-0.5004887586
2103-11-25T07:36:19.874Z,-0.5004887586
2103-11-25T07:37:19.882Z,-0.5004887586
2103-11-25T07:38:19.89Z,-0.5004887586
2103-11-25T07:39:19.898Z,-0.5004887586
2103-11-25T07:40:19.906Z,-0.5004887586
2103-11-25T07:41:19.914Z,-0.5004887586
2103-11-25T07:42:19.922Z,-0.5004887586
2103-11-25T07:43:19.93Z,-0.5004887586
2103-11-25T07:44:19.938Z,-0.5004887586
2103-11-25T07:45:19.946Z,-0.5004887586
2103-11-25T07:46:19.954Z,-0.5004887586
2103-11-25T07:47:19.962Z,-0.5004887586
2103-11-25T07:48:19.97Z,-0.5004887586
2103-11-25T07:49:19.978Z,-0.5004887586
2103-11-25T07:50:19.986Z,-0.5004887586
2103-11-25T07:51:19.994Z,-0.5004887586
2103-11-25T07:52:20.002Z,-0.5004887586
2103-11-25T07:53:20.01Z,-0.5004887586
2103-11-25T07:54:20.018Z,-0.5004887586
2103-11-25T07:55:20.026Z,-0.5004887586
2103-11-25T07:56:20.034Z,-0.5004887586
2103-11-25T07:57:20.042Z,-0.5004887586
2103-11-25T07:58:20.05Z,-0.5004887586
2103-11-25T07:59:20.058Z,-0.5004887586
2103-11-25T08:00:20.066Z,-0.5004887586
2103-11-25T08:01:20.074Z,-0.5004887586
2103-11-25T08:02:20.082Z,-0.5004887586
2103-11-25T08:03:20.09Z,-0.5004887586
2103-11-25T08:04:20.098Z,-0.5004887586
2103-11-25T08:05:20.106Z,-0.5004887586
2103-11-25T08:06:20.114Z,-0.5004887586
2103-11-25T08:07:20.122Z,-0.5004887586
2103-11-25T08:08:20.13Z,-0.5004887586
2103-11-25T08:09:20.138Z,-0.5004887586
2103-11-25T08:10:20.146Z,-0.5004887586
2103-11-25T08:11:20.154Z,-0.5004887586
2103-11-25T08:12:20.162Z,-0.5004887586
2103-11-25T08:13:20.17Z,-0.5004887586
2103-11-25T08:14:20.178Z,-0.5004887586
2103-11-25T08:15:20.186Z,-0.5004887586
2103-11-25T08:16:20.194Z,-0.5004887586
2103-11-25T08:17:20.202Z,-0.5004887586
2103-11-25T08:18:20.21Z,-0.5004887586
2103-11-25T08:19:20.218Z,-0.5004887586
2103-11-25T08:20:20.226Z,-0.5004887586
2103-11-25T08:21:20.234Z,-0.5004887586
2103-11-25T08:22:20.242Z,-0.5004887586
2103-11-25T08:23:20.25Z,-0.5004887586
2103-11-25T08:24:20.258Z,-0.5004887586
2103-11-25T08:25:20.266Z,-0.5004887586
2103-11-25T08:26:20.274Z,-0.5004887586
2103-11-25T08:27:20.282Z,-0.5004887586
2103-11-25T08:28:20.29Z,-0.5004887586
2103-11-25T08:29:20.298Z,-0.5004887586
2103-11-25T08:30:20.306Z,-0.5004887586
2103-11-25T08:31:20.314Z,-0.5004887586
2103-11-25T08:32:20.322Z,-0.5004887586
2103-11-25T08:33:20.33Z,-0.5004887586
2103-11-25T08:34:20.338Z,-0.5004887586
2103-11-25T08:35:20.346Z,-0.5004887586
2103-11-25T08:36:20.354Z,-0.5004887586
2103-11-25T08:37:20.362Z,-0.5004887586
2103-11-25T08:38:20.37Z,-0.5004887586
2103-11-25T08:39:20.378Z,-0.5004887586
2103-11-25T08:40:20.386Z,-0.5004887586
2103-11-25T08:41:20.394Z,-0.5004887586
2103-11-25T08:42:20.402Z,-0.5004887586
2103-11-25T08:43:20.41Z,-0.5004887586
2103-11-25T08:44:20.418Z,-0.5004887586
2103-11-25T08:45:20.426Z,-0.5004887586
2103-11-25T08:46:20.434Z,-0.5004887586
2103-11-25T08:47:20.442Z,-0.5004887586
2103-11-25T08:48:20.45Z,-0.5004887586
2103-11-25T08:49:20.458Z,-0.5004887586
2103-11-25T08:50:20.466Z,-0.5004887586
2103-11-25T08:51:20.474Z,-0.5004887586
2103-11-25T08:52:20.482Z,-0.5004887586
2103-11-25T08:53:20.49Z,-0.5004887586
2103-11-25T08:54:20.498Z,-0.5004887586
2103-11-25T08:55:20.506Z,-0.5004887586
2103-11-25T08:56:20.514Z,-0.5004887586
2103-11-25T08:57:20.522Z,-0.5004887586
2103-11-25T08:58:20.53Z,-0.5004887586
2103-11-25T08:59:20.538Z,-0.5004887586
2103-11-25T09:00:20.546Z,-0.5004887586
2103-11-25T09:01:20.554Z,-0.5004887586
2103-11-25T09:02:20.562Z,-0.5004887586
2103-11-25T09:03:20.57Z,-0.5004887586
2103-11-25T09:04:20.578Z,-0.5004887586
2103-11-25T09:05:20.586Z,-0.5004887586
2103-11-25T09:06:20.594Z,-0.5004887586
2103-11-25T09:07:20.602Z,-0.5004887586
2103-11-25T09:08:20.61Z,-0.5004887586
2103-11-25T09:09:20.618Z,-0.5004887586
2103-11-25T09:10:20.626Z,-0.5004887586
2103-11-25T09:11:20.634Z,-0.5004887586
2103-11-25T09:12:20.642Z,-0.5004887586
2103-11-25T09:13:20.65Z,-0.5004887586
2103-11-25T09:14:20.658Z,-0.5004887586
2103-11-25T09:15:20.666Z,-0.5004887586
2103-11-25T09:16:20.674Z,-0.5004887586
2103-11-25T09:17:20.682Z,-0.5004887586
2103-11-25T09:18:20.69Z,-0.5004887586
2103-11-25T09:19:20.698Z,-0.5004887586
2103-11-25T09:20:20.706Z,-0.5004887586
2103-11-25T09:21:20.714Z,-0.5004887586
2103-11-25T09:22:20.722Z,-0.5004887586
2103-11-25T09:23:20.73Z,-0.5004887586
2103-11-25T09:24:20.738Z,-0.5004887586
2103-11-25T09:25:20.746Z,-0.5004887586
2103-11-25T09:26:20.754Z,-0.5004887586
2103-11-25T09:27:20.762Z,-0.5004887586
2103-11-25T09:28:20.77Z,-0.5004887586
2103-11-25T09:29:20.778Z,-0.5004887586
2103-11-25T09:30:20.786Z,-0.5004887586
2103-11-25T09:31:20.794Z,-0.5004887586
2103-11-25T09:32:20.802Z,-0.5004887586
2103-11-25T09:33:20.81Z,-0.5004887586
2103-11-25T09:34:20.818Z,-0.5004887586
2103-11-25T09:35:20.826Z,-0.5004887586
2103-11-25T09:36:20.834Z,-0.5004887586
2103-11-25T09:37:20.842Z,-0.5004887586
2103-11-25T09:38:20.85Z,-0.5004887586
2103-11-25T09:39:20.858Z,-0.5004887586
2103-11-25T09:40:20.866Z,-0.5004887586
2103-11-25T09:41:20.874Z,-0.5004887586
2103-11-25T09:42:20.882Z,-0.5004887586
2103-11-25T09:43:20.89Z,-0.5004887586
2103-11-25T09:44:20.898Z,-0.5004887586
2103-11-25T09:45:20.906Z,-0.5004887586
2103-11-25T09:46:20.914Z,-0.5004887586
2103-11-25T09:47:20.922Z,-0.5004887586
2103-11-25T09:48:20.93Z,-0.5004887586
2103-11-25T09:49:20.938Z,-0.5004887586
2103-11-25T09:50:20.946Z,-0.5004887586
2103-11-25T09:51:20.954Z,-0.5004887586
2103-11-25T09:52:20.962Z,-0.5004887586
2103-11-25T09:53:20.97Z,-0.5004887586
2103-11-25T09:54:20.978Z,-0.5004887586
2103-11-25T09:55:20.986Z,-0.5004887586
2103-11-25T09:56:20.994Z,-0.5004887586
2103-11-25T09:57:21.002Z,-0.5004887586
2103-11-25T09:58:21.01Z,-0.5004887586
2103-11-25T09:59:21.018Z,-0.5004887586
2103-11-25T10:00:21.026Z,-0.5004887586
2103-11-25T10:01:21.034Z,-0.5004887586
2103-11-25T10:02:21.042Z,-0.5004887586
2103-11-25T10:03:21.05Z,-0.5004887586
2103-11-25T10:04:21.058Z,-0.5004887586
2103-11-25T10:05:21.066Z,-0.5004887586
2103-11-25T10:06:21.074Z,-0.5004887586
2103-11-25T10:07:21.082Z,-0.5004887586
2103-11-25T10:08:21.09Z,-0.5004887586
2103-11-25T10:09:21.098Z,-0.5004887586
2103-11-25T10:10:21.106Z,-0.5004887586
2103-11-25T10:11:21.114Z,-0.5004887586
2103-11-25T10:12:21.122Z,-0.5004887586
2103-11-25T10:13:21.13Z,-0.5004887586
2103-11-25T10:14:21.138Z,-0.5004887586
2103-11-25T10:15:21.146Z,-0.5004887586
2103-11-25T10:16:21.154Z,-0.5004887586
2103-11-25T10:17:21.162Z,-0.5004887586
2103-11-25T10:18:21.17Z,-0.5004887586
2103-11-25T10:19:21.178Z,-0.5004887586
2103-11-25T10:20:21.186Z,-0.5004887586
2103-11-25T10:21:21.194Z,-0.5004887586
2103-11-25T10:22:21.202Z,-0.5004887586
2103-11-25T10:23:21.21Z,-0.5004887586
2103-11-25T10:24:21.218Z,-0.5004887586
2103-11-25T10:25:21.226Z,-0.5004887586
2103-11-25T10:26:21.234Z,-0.5004887586
2103-11-25T10:27:21.242Z,-0.5004887586
2103-11-25T10:28:21.25Z,-0.5004887586
2103-11-25T10:29:21.258Z,-0.5004887586
2103-11-25T10:30:21.266Z,-0.5004887586
2103-11-25T10:31:21.274Z,-0.5004887586
2103-11-25T10:32:21.282Z,-0.5004887586
2103-11-25T10:33:21.29Z,-0.5004887586
2103-11-25T10:34:21.298Z,-0.5004887586
2103-11-25T10:35:21.306Z,-0.5004887586
2103-11-25T10:36:21.314Z,-0.5004887586
2103-11-25T10:37:21.322Z,-0.5004887586
2103-11-25T10:38:21.33Z,-0.5004887586
2103-11-25T10:39:21.338Z,-0.5004887586
2103-11-25T10:40:21.346Z,-0.5004887586
2103-11-25T10:41:21.354Z,-0.5004887586
2103-11-25T10:42:21.362Z,-0.5004887586
2103-11-25T10:43:21.37Z,-0.5004887586
2103-11-25T10:44:21.378Z,-0.5004887586
2103-11-25T10:45:21.386Z,-0.5004887586
2103-11-25T10:46:21.394Z,-0.5004887586
2103-11-25T10:47:21.402Z,-0.5004887586
2103-11-25T10:48:21.41Z,-0.5004887586
2103-11-25T10:49:21.418Z,-0.5004887586
2103-11-25T10:50:21.426Z,-0.5004887586
2103-11-25T10:51:21.434Z,-0.5004887586
2103-11-25T10:52:21.442Z,-0.5004887586
2103-11-25T10:53:21.45Z,-0.5004887586
2103-11-25T10:54:21.458Z,-0.5004887586
2103-11-25T10:55:21.466Z,-0.5004887586
2103-11-25T10:56:21.474Z,-0.5004887586
2103-11-25T10:57:21.482Z,-0.5004887586
2103-11-25T10:58:21.49Z,-0.5004887586
2103-11-25T10:59:21.498Z,-0.5004887586
2103-11-25T11:00:21.506Z,-0.5004887586
2103-11-25T11:01:21.514Z,-0.5004887586
2103-11-25T11:02:21.522Z,-0.5004887586
2103-11-25T11:03:21.53Z,-0.5004887586
2103-11-25T11:04:21.538Z,-0.5004887586
2103-11-25T11:05:21.546Z,-0.5004887586
2103-11-25T11:06:21.554Z,-0.5004887586
2103-11-25T11:07:21.562Z,-0.5004887586
2103-11-25T11:08:21.57Z,-0.5004887586
2103-11-25T11:09:21.578Z,-0.5004887586
2103-11-25T11:10:21.586Z,-0.5004887586
2103-11-25T11:11:21.594Z,-0.5004887586
2103-11-25T11:12:21.602Z,-0.5004887586
2103-11-25T11:13:21.61Z,-0.5004887586
2103-11-25T11:14:21.618Z,-0.5004887586
2103-11-25T11:15:21.626Z,-0.5004887586
2103-11-25T11:16:21.634Z,-0.5004887586
2103-11-25T11:17:21.642Z,-0.5004887586
2103-11-25T11:18:21.65Z,-0.5004887586
2103-11-25T11:19:21.658Z,-0.5004887586
2103-11-25T11:20:21.666Z,-0.5004887586
2103-11-25T11:21:21.674Z,-0.5004887586
2103-11-25T11:22:21.682Z,-0.5004887586
2103-11-25T11:23:21.69Z,-0.5004887586
2103-11-25T11:24:21.698Z,-0.5004887586
2103-11-25T11:25:21.706Z,-0.5004887586
2103-11-25T11:26:21.714Z,-0.5004887586
2103-11-25T11:27:21.722Z,-0.5004887586
2103-11-25T11:28:21.73Z,-0.5004887586
2103-11-25T11:29:21.738Z,-0.5004887586
2103-11-25T11:30:21.746Z,-0.5004887586
2103-11-25T11:31:21.754Z,-0.5004887586
2103-11-25T11:32:21.762Z,-0.5004887586
2103-11-25T11:33:21.77Z,-0.5004887586
2103-11-25T11:34:21.778Z,-0.5004887586
2103-11-25T11:35:21.786Z,-0.5004887586
2103-11-25T11:36:21.794Z,-0.5004887586
2103-11-25T11:37:21.802Z,-0.5004887586
2103-11-25T11:38:21.81Z,-0.5004887586
2103-11-25T11:39:21.818Z,-0.5004887586
2103-11-25T11:40:21.826Z,-0.5004887586
2103-11-25T11:41:21.834Z,-0.5004887586
2103-11-25T11:42:21.842Z,-0.5004887586
2103-11-25T11:43:21.85Z,-0.5004887586
2103-11-25T11:44:21.858Z,-0.5004887586
2103-11-25T11:45:21.866Z,-0.5004887586
2103-11-25T11:46:21.874Z,-0.5004887586
2103-11-25T11:47:21.882Z,-0.5004887586
2103-11-25T11:48:21.89Z,-0.5004887586
2103-11-25T11:49:21.898Z,-0.5004887586
2103-11-25T11:50:21.906Z,-0.5004887586
2103-11-25T11:51:21.914Z,-0.5004887586
2103-11-25T11:52:21.922Z,-0.5004887586
2103-11-25T11:53:21.93Z,-0.5004887586
2103-11-25T11:54:21.938Z,-0.5004887586
2103-11-25T11:55:21.946Z,-0.5004887586
2103-11-25T11:56:21.954Z,-0.5004887586
2103-11-25T11:57:21.962Z,-0.5004887586
2103-11-25T11:58:21.97Z,-0.5004887586
2103-11-25T11:59:21.978Z,-0.5004887586
2103-11-25T12:00:21.986Z,-0.5004887586
2103-11-25T12:01:21.994Z,-0.5004887586
2103-11-25T12:02:22.002Z,-0.5004887586
2103-11-25T12:03:22.01Z,-0.5004887586
2103-11-25T12:04:22.018Z,-0.5004887586
2103-11-25T12:05:22.026Z,-0.5004887586
2103-11-25T12:06:22.034Z,-0.5004887586
2103-11-25T12:07:22.042Z,-0.5004887586
2103-11-25T12:08:22.05Z,-0.5004887586
2103-11-25T12:09:22.058Z,-0.5004887586
2103-11-25T12:10:22.066Z,-0.5004887586
2103-11-25T12:11:22.074Z,-0.5004887586
